"ntl_code","measure_direction","total_measures","measure_code","measure_title","measure_count","hs_revision","ntm_classification","ntm_year","data_source","raw_source_file"
"8509803000","1","28","B420","TBT regulations on transport and storage","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509803000","1","28","B490","Production or post-production requirements, n.e.s.","2","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509803000","1","28","B700","Product quality, safety or performance requirement","2","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509803000","1","28","B820","Testing requirement","5","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509803000","1","28","B830","Certification requirement","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509803000","1","28","B850","Traceability requirements","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509803000","1","28","B851","Origin of materials and parts","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509803000","1","28","B853","Distribution and location of products after delivery","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509803000","1","28","B859","Traceability requirements, n.e.s.","5","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509803000","1","28","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509803000.json"
"8509804000","1","25","B220","Restricted use of certain substances","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","B310","Labelling requirements","5","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","B330","Packaging requirements","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","B410","TBT regulations on production processes","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","B420","TBT regulations on transport and storage","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","B490","Production or post-production requirements, n.e.s.","2","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","B700","Product quality, safety or performance requirement","2","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","B820","Testing requirement","3","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","B830","Certification requirement","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","B850","Traceability requirements","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","B851","Origin of materials and parts","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","B853","Distribution and location of products after delivery","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","B859","Traceability requirements, n.e.s.","4","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509804000","1","25","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509804000.json"
"8509809000","1","33","A150","Authorization requirement for importers for SPS reasons","2","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","A490","Hygienic requirements, n.e.s.","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","A640","Storage and transport conditions","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","A820","Testing requirement","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","A851","Origin of materials and parts","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","A853","Distribution and location of products after delivery","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","A859","Traceability requirements, n.e.s.","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","B220","Restricted use of certain substances","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","B310","Labelling requirements","5","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","B330","Packaging requirements","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","B420","TBT regulations on transport and storage","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","B490","Production or post-production requirements, n.e.s.","2","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","B700","Product quality, safety or performance requirement","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","B820","Testing requirement","4","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","B850","Traceability requirements","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","B851","Origin of materials and parts","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","B853","Distribution and location of products after delivery","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","B859","Traceability requirements, n.e.s.","5","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","C400","Import monitoring, surveillance and automatic licensing measures","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","33","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509809000.json"
